,repo,issues_opened,issues_closed,total_issues,pulls_opened,pulls_closed,total_pulls,n_commits,additions,deletions,total_changes
144,lcls-plc-tmo-optics,0,0,0,0,0,0,22,366427.0,254956.0,621383.0
145,pvNotepad,0,0,1,0,0,0,0,0.0,0.0,0.0
146,ioc-template-macros,0,0,0,0,0,0,1,36.0,10.0,46.0
147,cookiecutter-caproto-ioc,0,0,0,0,0,0,0,0.0,0.0,0.0
148,pcdscalc,0,0,4,0,0,0,24,489.0,5903.0,6392.0
149,lcls-plc-hxx-vonhamos,0,0,1,0,0,0,0,0.0,0.0,0.0
150,lcls-plc-tmo-vac,1,0,3,1,0,1,4,374.0,374.0,748.0
151,lcls-plc-sxr-satt,0,0,2,0,0,0,0,0.0,0.0,0.0
152,lcls-plc-kfe-gatt,1,0,1,1,0,1,0,0.0,0.0,0.0
153,iocCommon-rhel7,0,0,0,0,0,0,0,0.0,0.0,0.0
154,iocCommon-hosts,0,0,0,0,0,0,0,0.0,0.0,0.0
155,ioc-machine-core,0,0,4,0,0,1,0,0.0,0.0,0.0
156,iocCommon-All,0,0,0,0,0,0,0,0.0,0.0,0.0
157,epics-setup,0,0,0,0,0,0,0,0.0,0.0,0.0
158,lcls-plc-lamp-motion,0,0,0,0,0,0,0,0.0,0.0,0.0
159,eco_tools,0,0,0,0,0,0,0,0.0,0.0,0.0
160,lcls-plc-example-vacuum-serial,0,0,0,0,0,0,1,5.0,8.0,13.0
161,archstats,0,0,4,0,0,0,0,0.0,0.0,0.0
162,lcls-plc-las-bts,0,0,4,0,0,0,0,0.0,0.0,0.0
163,rix,0,0,0,0,0,0,0,0.0,0.0,0.0
164,plc-summary,0,0,3,0,0,0,22,25134.0,7960.0,33094.0
165,lcls-plc-cvmi-motion,0,0,1,0,0,1,0,0.0,0.0,0.0
166,ioc-archstats,0,0,0,0,0,0,0,0.0,0.0,0.0
167,epics-config,0,0,1,0,0,1,43,422.0,418.0,840.0
168,gateway-setup,0,0,1,0,0,0,5,93.0,1.0,94.0
169,lcls-plc-cvmi-vac,0,0,1,0,0,1,0,0.0,0.0,0.0
170,ioc-lfe-at2l0-calc,0,0,0,0,0,0,0,0.0,0.0,0.0
171,pymps,0,0,0,0,0,0,0,0.0,0.0,0.0
172,pdr_demo,0,0,0,0,0,0,0,0.0,0.0,0.0
173,lcls-plc-mfx-be-lens-interlock,0,0,0,0,0,0,0,0.0,0.0,0.0
174,mfxRobotVal3,0,0,0,0,0,0,0,0.0,0.0,0.0
175,cookiecutter-caproto-ioc-startup,0,0,0,0,0,0,5,92.0,72.0,164.0
176,ioc-kfe-at1k4-calc,0,0,0,0,0,0,0,0.0,0.0,0.0
177,ads-log-daemon,0,0,3,0,0,0,0,0.0,0.0,0.0
178,lcls-plc-mrco-motion,0,0,0,0,0,0,0,0.0,0.0,0.0
179,netconfig,0,0,3,0,0,0,0,0.0,0.0,0.0
180,tmo_screens,0,0,1,0,0,1,0,0.0,0.0,0.0
181,ioc-mfx-tfs-lens,0,0,2,0,0,0,0,0.0,0.0,0.0
182,lcls-plc-dev-xrt-optics,0,0,0,0,0,0,1,3.0,10.0,13.0
183,tmo_data_scripts,0,0,0,0,0,0,0,0.0,0.0,0.0
184,atef,9,0,51,1,0,2,69,6980.0,2720.0,9700.0
185,lcls-plc-mrco-vac,0,0,0,0,0,0,0,0.0,0.0,0.0
186,ued,0,0,1,0,0,1,0,0.0,0.0,0.0
187,camviewer,0,0,4,0,0,0,3,1015.0,749.0,1764.0
188,whatrecord,2,0,30,0,0,0,3,3.0,1.0,4.0
189,lcls2,0,0,0,0,0,0,0,0.0,0.0,0.0
190,bluesky-gui-meta,0,0,1,0,0,0,0,0.0,0.0,0.0
191,ioc-rix-at2k2-calc,0,0,0,0,0,0,0,0.0,0.0,0.0
192,lcls-plc-xcs-per-vac,0,0,0,0,0,0,0,0.0,0.0,0.0
193,pcds-plc-routes,0,0,0,0,0,0,0,0.0,0.0,0.0
194,ioc-rix-sp1k1-calc,0,0,0,0,0,0,0,0.0,0.0,0.0
195,lcls-plc-xpp-jjslit-motion,1,0,1,1,0,1,0,0.0,0.0,0.0
196,TcStaticAnalysisLoader,0,0,0,0,0,0,0,0.0,0.0,0.0
197,mfx-lens-reports,0,0,0,0,0,0,0,0.0,0.0,0.0
198,tc3-table-generator,0,0,1,0,0,0,0,0.0,0.0,0.0
